station_id,station_name,lat,lon,ridership_2024_total,line_name
830,18th,41.85790770843142,-87.6691601248801,,Pink
1120,35-Bronzeville-IIT,41.83167802166354,-87.62588147448886,,Green Line
120,35th/Archer,41.82956008804762,-87.68058736862578,,Orange Line
1270,43rd,41.81646322287744,-87.61903578127783,,Green Line
1230,47th-Dan Ryan,41.81033813281231,-87.63102579710096,,Red Line
1080,47th-South Elevated,41.80920883501687,-87.61882612858349,,Green Line
130,51st,41.80209158434365,-87.61850159987594,,Green Line
580,54th/Cermak,41.85177330996383,-87.756692014772,,Pink
910,63rd-Dan Ryan,41.78053433456898,-87.63100044907034,,Red Line
990,69th,41.768367865867056,-87.62580935004172,,Red Line
240,79th,41.75041234272969,-87.62517835384935,,Red Line
1430,87th,41.73537121137496,-87.62475307324942,,Red Line
450,95th/Dan Ryan,41.72237598424248,-87.62441474538349,,Red Line
680,Adams/Wabash,41.879510219372655,-87.62609789982032,,"Brown, Green, Orange, Pink, Purple (Express)"
1420,Addison-North Main,41.94742799746875,-87.65362593077104,,Red Line
1240,Addison-O'Hare,41.9473601024952,-87.71909930215281,,Blue Line
1440,Addison-Ravenswood,41.94702865537702,-87.6747361074464,,Brown Line
1200,Argyle,41.97345332287952,-87.65852996352429,,Red Line
660,Armitage,41.91821656808861,-87.65264430600404,,"Brown, Purple (Express)"
170,Ashland-Lake,41.86233363718643,-87.66613129997071,,"Green (Lake), Orange Line, Pink"
290,Ashland/63rd,41.778953405637694,-87.6638448484402,,Green Line (Englewood)
10,Austin-Lake,41.87908958922272,-87.77546026238895,,"Blue Line, Green Line (Lake)"
1320,Belmont-North Main,41.93975074615253,-87.65338048799256,,"Brown, Purple (Express), Red"
60,Belmont-O'Hare,41.93813166977896,-87.71235935057341,,Blue Line
340,Berwyn,41.97798399254404,-87.65866841969589,,Red Line
1380,Bryn Mawr,41.983504225254826,-87.65884028505945,,Red Line
440,California-Lake,41.86924958097676,-87.69552856582723,,"Green Line (Lake), Pink"
570,California/Milwaukee,41.92193917150245,-87.6968897987879,,Blue Line (O'Hare)
780,Central Park,41.85399195494557,-87.71488026411758,,Pink
1250,Central-Evanston,42.06398654414921,-87.68561725654831,,"Evanston Express, Purple Line"
280,Central-Lake,41.8873890144414,-87.76564950550599,,Green Line (Lake)
1000,Cermak-Chinatown,41.85320579601431,-87.63096782627767,,Red Line
1690,Cermak-McCormick Place,41.85311508341227,-87.62640238492894,,Green Line
710,Chicago/Franklin,41.89677417178117,-87.63594665706665,,"Brown, Purple (Express)"
1410,Chicago/Milwaukee,41.89607523740354,-87.65521427917491,,Blue Line
1450,Chicago/State,41.89667121282868,-87.62817635256233,,Red Line
420,Cicero-Lake,41.87001737300212,-87.7450708626563,,"Blue Line (Congress), Green Line (Lake), Pink"
630,Clark/Division,41.90392031283341,-87.63141229300709,,Red Line
380,Clark/Lake,41.88573698625939,-87.63088601833961,,"Blue, Brown, Green, Orange, Pink, Purple (Express)"
430,Clinton-Lake,41.88062116433759,-87.64137776042992,,"Blue Line, Green (Lake), Pink"
1670,Conservatory-Central Park,41.88490437974895,-87.71652283291752,,Green Line (Lake)
720,Cottage Grove,41.78030876776892,-87.6058574174785,,Green Line
230,Cumberland,41.98429405782801,-87.83802598504772,,Blue Line
90,Damen-Ravenswood,41.91046291739687,-87.67730449019199,,"Brown Line, Pink"
590,Damen/Milwaukee,41.90974379246453,-87.67743665449984,,Blue Line
50,Davis,42.04771009459835,-87.68354292586837,,"Evanston Express, Purple Line"
690,Dempster,42.04165464471751,-87.68160198666094,,"Evanston Express, Purple Line"
140,Dempster-Skokie,42.03895069338699,-87.75191862595247,,Yellow Line
530,Diversey,41.93273150100663,-87.65313085718888,,"Brown, Purple (Express)"
320,Division/Milwaukee,41.90335508549131,-87.66649606690225,,Blue Line
390,Forest Park,41.87425731129019,-87.81731777906768,,Blue Line
520,Foster,42.05416022489171,-87.68356032638904,,"Evanston Express, Purple Line"
870,Francisco,41.96614689588972,-87.70165573251133,,Brown Line
1220,Fullerton,41.9250513685894,-87.6528658377562,,"Brown, Purple (Express), Red"
1170,Garfield-Dan Ryan,41.795418262115,-87.63116917003116,,Red Line
510,Garfield-South Elevated,41.79517665377113,-87.61832410779981,,Green Line
490,Grand/Milwaukee,41.89118929406765,-87.64757831015247,,Blue Line (O'Hare)
330,Grand/State,41.89166520138373,-87.62802125739587,,Red Line
760,Granville,41.99366426103333,-87.65920227948938,,Red Line
1130,Halsted-Midway,41.84690144087429,-87.64813110426746,,Orange Line
940,Halsted/63rd,41.7790278681209,-87.644023127218,,Green Line
20,Harlem-Congress,41.880169177689226,-87.80506842992116,,"Blue Line (Congress), Green Line (Lake)"
750,Harlem-O'Hare,41.982323370406654,-87.80889493503287,,Blue Line (O'Hare)
1490,Harrison,41.8740392440544,-87.62747911770376,,Red Line
900,Howard,42.01906322017403,-87.6728924507902,,"Evanston Express, Purple, Red, Yellow"
810,Illinois Medical District,41.87563542876877,-87.67394587971816,,Blue Line
300,Indiana,41.8218151964997,-87.62146281101369,,Green Line
550,Irving Park-O'Hare,41.95294026172351,-87.72917726558204,,Blue Line
1460,Irving Park-Ravenswood,41.95452313953493,-87.67495574333226,,Brown Line
70,Jackson/Dearborn,41.87818251886981,-87.62929566463735,,Blue Line
560,Jackson/State,41.87815275695708,-87.62759609756428,,Red Line
1190,Jarvis,42.01587618094787,-87.6690921120182,,Red Line
1280,Jefferson Park,41.97063413812226,-87.76089227927595,,Blue Line
250,Kedzie-Homan,41.87442550900997,-87.70597829539031,,Blue Line (Congress)
1040,Kedzie-Lake,41.87722317466901,-87.70618695886071,,"Brown Line, Green Line (Lake), Orange Line, Pink"
1290,Kimball,41.9679281515236,-87.71314203532829,,Brown Line
1140,King Drive,41.780129716720246,-87.61554588356856,,Green Line
600,Kostner,41.85375068701122,-87.73326365861335,,Pink
1340,LaSalle,41.87556762595072,-87.63172207547264,,Blue Line
160,LaSalle/Van Buren,41.87685533507961,-87.63173383435944,,"Brown, Orange, Pink, Purple (Express)"
1660,Lake/State,41.88480886783525,-87.62781338044591,,Red Line
700,Laramie,41.88716322654388,-87.75498649428108,,Green Line (Lake)
770,Lawrence,41.96913894081545,-87.65849296173627,,Red Line
850,Library,41.876908340423775,-87.62820914456076,,"Brown, Orange, Pink, Purple (Express)"
1050,Linden,42.0731527622841,-87.69072951855928,,"Evanston Express, Purple Line"
1020,Logan Square,41.92972804225144,-87.7085413860205,,Blue Line
1300,Loyola,42.0010733596017,-87.6610607008597,,Red Line
270,Main,42.03345571051573,-87.67953792271051,,"Evanston Express, Purple Line"
460,Merchandise Mart,41.88896793381599,-87.63397336028807,,"Brown, Purple (Express)"
930,Midway Airport,41.7866135510346,-87.73795637168769,,Orange Line
790,Monroe/Dearborn,41.88070346119076,-87.62937770045221,,Blue Line
1090,Monroe/State,41.880744558792216,-87.62769645951258,,Red Line
1330,Montrose-O'Hare,41.96148663304084,-87.74361697430824,,Blue Line
1500,Montrose-Ravenswood,41.96175171130978,-87.67516539063618,,Brown Line
1510,Morgan,41.885576788726354,-87.65212799206752,,"Green (Lake), Pink"
100,Morse,42.00836181944306,-87.6659090897442,,Red Line
650,North/Clybourn,41.910654580560376,-87.64917726687139,,Red Line
400,Noyes,42.05828247066971,-87.68333688171246,,"Evanston Express, Purple Line"
890,O'Hare Airport,41.97887673887917,-87.90184840013661,,Blue Line
180,Oak Park-Lake,41.879547747914096,-87.79269275077856,,"Blue Line, Green Line (Lake)"
1680,Oakton-Skokie,42.02624389455923,-87.74722101369109,,Yellow Line
1310,Paulina,41.94370914853047,-87.67088394357924,,Brown Line
1030,Polk,41.871563004328266,-87.66954322799872,,Pink
30,Pulaski-Douglas,41.85326133894191,-87.72495126654842,,"Blue Line (Congress), Green Line (Lake), Orange Line, Pink"
40,Quincy/Wells,41.87872328348997,-87.63373997596631,,"Brown, Orange, Pink, Purple (Express)"
470,Racine,41.87588563477906,-87.65945550927005,,Blue Line
610,Ridgeland,41.88715939826551,-87.78366103293801,,Green Line (Lake)
1010,Rockwell,41.96620994947778,-87.69411112481461,,Brown Line
1400,Roosevelt/State,41.86736766601225,-87.62740238294732,,Red Line
410,Roosevelt/Wabash,41.86740495963631,-87.62658988700281,,Orange & Green Lines
820,Rosemont,41.98350728784708,-87.8593877016713,,Blue Line
800,Sedgwick,41.91040918029724,-87.63930216454519,,"Brown, Purple (Express)"
80,Sheridan,41.95377494743192,-87.65492939219291,,Red Line
840,South Boulevard,42.02761184862187,-87.67832941601363,,"Evanston Express, Purple Line"
360,Southport,41.94381225617526,-87.66360955994172,,Brown Line
190,Sox-35th-Dan Ryan,41.83119056018904,-87.63063629512068,,Red Line
260,State/Lake,41.885740410818926,-87.62783518066094,,"Brown, Green, Orange, Pink, Purple (Express)"
880,Thorndale,41.99025949401919,-87.6590758588342,,Red Line
350,UIC-Halsted,41.8755162091606,-87.64964223079026,,Blue Line
370,Washington/Dearborn,41.88316442656523,-87.6294400596467,,Blue Line
1700,Washington/Wabash,41.88322001293653,-87.62618878473234,,"Brown, Green, Orange, Pink, Purple (Express)"
730,Washington/Wells,41.88269501849896,-87.63385352993139,,"Brown, Orange, Pink, Purple (Express)"
1210,Wellington,41.936032602681166,-87.65326645004653,,"Brown, Purple (Express)"
220,Western-Ravenswood,41.87521500493779,-87.6865453311916,,"Blue Line (Congress), Brown Line, Orange Line, Pink"
670,Western/Milwaukee,41.916157429131374,-87.6873643813982,,Blue Line (O'Hare)
540,Wilson,41.96425415994733,-87.65773404557505,,"Purple, Red Line"
